usuario,latitud,longitud,aceleracion,temperatura,dia,hora,email
Carlos López,25.6870,-100.3195,2.6,32.0,Miércoles,13:30,carlos.lopez@paysafe.mx
Carlos López,25.6640,-100.3105,2.9,33.5,Miércoles,16:40,carlos.lopez@paysafe.mx
Carlos López,25.6910,-100.3285,2.5,31.8,Miércoles,19:05,carlos.lopez@paysafe.mx
Carlos López,25.6760,-100.3175,2.7,32.4,Jueves,08:55,carlos.lopez@paysafe.mx
Carlos López,25.6830,-100.3225,2.4,31.3,Jueves,11:50,carlos.lopez@paysafe.mx
Carlos López,25.6690,-100.3135,2.8,32.9,Jueves,14:55,carlos.lopez@paysafe.mx
Carlos López,25.6920,-100.3265,2.6,32.2,Jueves,17:15,carlos.lopez@paysafe.mx
Carlos López,25.6650,-100.3095,2.5,31.5,Viernes,08:15,carlos.lopez@paysafe.mx
Carlos López,25.6880,-100.3245,2.9,33.1,Viernes,11:10,carlos.lopez@paysafe.mx
Carlos López,25.6730,-100.3165,2.3,30.8,Viernes,14:00,carlos.lopez@paysafe.mx
Carlos López,25.6950,-100.3205,2.7,32.5,Viernes,16:30,carlos.lopez@paysafe.mx
Carlos López,25.6810,-100.3155,2.4,31.6,Viernes,19:15,carlos.lopez@paysafe.mx
Carlos López,25.6670,-100.3275,2.8,32.7,Sábado,09:50,carlos.lopez@paysafe.mx
Carlos López,25.6940,-100.3185,2.6,32.0,Sábado,12:40,carlos.lopez@paysafe.mx
Carlos López,25.6780,-100.3235,2.5,31.4,Sábado,15:20,carlos.lopez@paysafe.mx
Carlos López,25.6850,-100.3145,2.9,33.3,Domingo,10:40,carlos.lopez@paysafe.mx
Carlos López,25.6700,-100.3215,2.4,31.1,Domingo,13:40,carlos.lopez@paysafe.mx
Carlos López,25.6930,-100.3255,2.7,32.6,Domingo,16:25,carlos.lopez@paysafe.mx
Ana Martínez,25.6880,-100.3220,1.3,27.6,Lunes,08:00,ana.martinez@paysafe.mx
Ana Martínez,25.6730,-100.3110,1.5,28.3,Lunes,11:50,ana.martinez@paysafe.mx
Ana Martínez,25.6990,-100.3280,1.2,26.9,Lunes,14:40,ana.martinez@paysafe.mx
Ana Martínez,25.6580,-100.2980,1.4,29.1,Lunes,17:20,ana.martinez@paysafe.mx
Ana Martínez,25.6940,-100.3090,1.1,27.4,Martes,07:05,ana.martinez@paysafe.mx
Ana Martínez,25.6805,-100.3175,1.3,28.8,Martes,10:25,ana.martinez@paysafe.mx
Ana Martínez,25.6695,-100.3135,1.2,27.2,Martes,13:15,ana.martinez@paysafe.mx
Ana Martínez,25.6925,-100.3245,1.4,29.3,Martes,16:40,ana.martinez@paysafe.mx
Ana Martínez,25.6615,-100.3055,1.1,26.7,Martes,19:10,ana.martinez@paysafe.mx
Ana Martínez,25.6855,-100.3205,1.5,28.5,Miércoles,08:50,ana.martinez@paysafe.mx
Ana Martínez,25.6770,-100.3125,1.2,27.9,Miércoles,11:35,ana.martinez@paysafe.mx
Ana Martínez,25.6900,-100.3265,1.3,29.0,Miércoles,14:55,ana.martinez@paysafe.mx
Ana Martínez,25.6645,-100.3095,1.4,28.1,Miércoles,17:20,ana.martinez@paysafe.mx
Ana Martínez,25.6975,-100.3185,1.1,26.5,Jueves,07:45,ana.martinez@paysafe.mx
Ana Martínez,25.6820,-100.3155,1.5,29.2,Jueves,10:45,ana.martinez@paysafe.mx
Ana Martínez,25.6745,-100.3235,1.2,27.7,Jueves,13:30,ana.martinez@paysafe.mx
Ana Martínez,25.6885,-100.3115,1.3,28.6,Jueves,16:20,ana.martinez@paysafe.mx
Ana Martínez,25.6665,-100.3195,1.4,29.4,Viernes,08:35,ana.martinez@paysafe.mx
Ana Martínez,25.6935,-100.3175,1.1,27.1,Viernes,11:05,ana.martinez@paysafe.mx
Ana Martínez,25.6785,-100.3255,1.5,28.9,Viernes,14:10,ana.martinez@paysafe.mx
Ana Martínez,25.6715,-100.3145,1.2,27.5,Viernes,17:55,ana.martinez@paysafe.mx
Ana Martínez,25.6895,-100.3225,1.3,28.3,Sábado,09:25,ana.martinez@paysafe.mx
Ana Martínez,25.6635,-100.3105,1.4,29.0,Sábado,12:20,ana.martinez@paysafe.mx
Ana Martínez,25.6955,-100.3265,1.1,26.8,Sábado,15:35,ana.martinez@paysafe.mx
Ana Martínez,25.6805,-100.3185,1.5,28.7,Domingo,10:15,ana.martinez@paysafe.mx
Ana Martínez,25.6725,-100.3155,1.2,27.4,Domingo,13:30,ana.martinez@paysafe.mx
Ana Martínez,25.6875,-100.3215,1.3,28.8,Domingo,16:45,ana.martinez@paysafe.mx
Roberto Silva,25.6820,-100.3170,1.7,29.8,Lunes,09:30,roberto.silva@paysafe.mx
Roberto Silva,25.6680,-100.3240,1.6,28.7,Lunes,12:00,roberto.silva@paysafe.mx
Roberto Silva,25.6970,-100.3320,1.8,30.5,Lunes,14:35,roberto.silva@paysafe.mx
Roberto Silva,25.6640,-100.3060,1.5,29.2,Lunes,17:50,roberto.silva@paysafe.mx
Roberto Silva,25.6910,-100.3140,1.9,31.0,Martes,08:25,roberto.silva@paysafe.mx
Roberto Silva,25.6755,-100.3215,1.7,29.5,Martes,11:10,roberto.silva@paysafe.mx
Roberto Silva,25.6865,-100.3185,1.6,28.9,Martes,13:25,roberto.silva@paysafe.mx
Roberto Silva,25.6705,-100.3125,1.8,30.3,Martes,16:40,roberto.silva@paysafe.mx
Roberto Silva,25.6935,-100.3255,1.5,29.1,Martes,19:55,roberto.silva@paysafe.mx
Roberto Silva,25.6785,-100.3095,1.9,31.2,Miércoles,08:20,roberto.silva@paysafe.mx
Roberto Silva,25.6625,-100.3205,1.6,28.6,Miércoles,11:05,roberto.silva@paysafe.mx
Roberto Silva,25.6895,-100.3165,1.7,30.0,Miércoles,13:35,roberto.silva@paysafe.mx
Roberto Silva,25.6730,-100.3275,1.8,29.7,Miércoles,16:50,roberto.silva@paysafe.mx
Roberto Silva,25.6950,-100.3145,1.5,28.8,Jueves,08:00,roberto.silva@paysafe.mx
Roberto Silva,25.6670,-100.3115,1.9,31.1,Jueves,11:00,roberto.silva@paysafe.mx
Roberto Silva,25.6840,-100.3235,1.6,29.3,Jueves,13:50,roberto.silva@paysafe.mx
Roberto Silva,25.6710,-100.3185,1.7,30.2,Jueves,16:05,roberto.silva@paysafe.mx
Roberto Silva,25.6920,-100.3225,1.8,29.9,Viernes,08:35,roberto.silva@paysafe.mx
Roberto Silva,25.6790,-100.3155,1.5,28.5,Viernes,11:25,roberto.silva@paysafe.mx
Roberto Silva,25.6650,-100.3265,1.9,31.3,Viernes,14:35,roberto.silva@paysafe.mx
Roberto Silva,25.6880,-100.3195,1.6,29.6,Viernes,17:20,roberto.silva@paysafe.mx
Roberto Silva,25.6745,-100.3145,1.7,30.1,Sábado,10:10,roberto.silva@paysafe.mx
Roberto Silva,25.6905,-100.3275,1.8,29.8,Sábado,13:50,roberto.silva@paysafe.mx
Roberto Silva,25.6665,-100.3125,1.5,28.7,Sábado,16:15,roberto.silva@paysafe.mx
Roberto Silva,25.6935,-100.3215,1.9,31.2,Domingo,11:25,roberto.silva@paysafe.mx
Roberto Silva,25.6775,-100.3185,1.6,29.4,Domingo,14:15,roberto.silva@paysafe.mx
Roberto Silva,25.6855,-100.3245,1.7,30.0,Domingo,17:15,roberto.silva@paysafe.mx
Laura Hernández,25.6760,-100.3200,0.7,26.2,Lunes,07:20,laura.hernandez@paysafe.mx
Laura Hernández,25.6890,-100.3070,0.9,27.5,Lunes,10:10,laura.hernandez@paysafe.mx
Laura Hernández,25.6610,-100.3150,0.8,26.8,Lunes,13:00,laura.hernandez@paysafe.mx
Laura Hernández,25.6980,-100.3260,1.0,28.1,Lunes,15:15,laura.hernandez@paysafe.mx
Laura Hernández,25.6720,-100.3190,0.6,25.9,Lunes,18:45,laura.hernandez@paysafe.mx
Laura Hernández,25.6835,-100.3225,0.9,27.3,Martes,08:20,laura.hernandez@paysafe.mx
Laura Hernández,25.6745,-100.3135,0.7,26.5,Martes,11:35,laura.hernandez@paysafe.mx
Laura Hernández,25.6915,-100.3285,1.0,28.0,Martes,14:25,laura.hernandez@paysafe.mx
Laura Hernández,25.6655,-100.3105,0.8,26.1,Martes,17:40,laura.hernandez@paysafe.mx
Laura Hernández,25.6875,-100.3175,0.6,25.7,Miércoles,07:50,laura.hernandez@paysafe.mx
Laura Hernández,25.6790,-100.3245,0.9,27.6,Miércoles,10:15,laura.hernandez@paysafe.mx
Laura Hernández,25.6925,-100.3155,0.7,26.9,Miércoles,13:05,laura.hernandez@paysafe.mx
Laura Hernández,25.6685,-100.3215,1.0,28.2,Miércoles,16:30,laura.hernandez@paysafe.mx
Laura Hernández,25.6960,-100.3125,0.8,26.4,Miércoles,19:20,laura.hernandez@paysafe.mx
Laura Hernández,25.6810,-100.3195,0.9,27.8,Jueves,08:45,laura.hernandez@paysafe.mx
Laura Hernández,25.6730,-100.3165,0.7,26.3,Jueves,11:15,laura.hernandez@paysafe.mx
Laura Hernández,25.6895,-100.3235,1.0,28.3,Jueves,14:15,laura.hernandez@paysafe.mx
Laura Hernández,25.6645,-100.3125,0.8,26.7,Jueves,17:55,laura.hernandez@paysafe.mx
Laura Hernández,25.6955,-100.3205,0.6,25.8,Viernes,08:05,laura.hernandez@paysafe.mx
Laura Hernández,25.6775,-100.3145,0.9,27.4,Viernes,11:05,laura.hernandez@paysafe.mx
Laura Hernández,25.6865,-100.3255,0.7,26.6,Viernes,14:25,laura.hernandez@paysafe.mx
Laura Hernández,25.6705,-100.3185,1.0,28.0,Viernes,17:45,laura.hernandez@paysafe.mx
Laura Hernández,25.6935,-100.3165,0.8,26.5,Sábado,09:50,laura.hernandez@paysafe.mx
Laura Hernández,25.6785,-100.3225,0.9,27.7,Sábado,13:20,laura.hernandez@paysafe.mx
Laura Hernández,25.6855,-100.3145,0.7,26.2,Sábado,16:30,laura.hernandez@paysafe.mx
Laura Hernández,25.6715,-100.3275,1.0,28.1,Domingo,10:35,laura.hernandez@paysafe.mx
Laura Hernández,25.6905,-100.3195,0.8,26.8,Domingo,13:20,laura.hernandez@paysafe.mx
Laura Hernández,25.6665,-100.3155,0.9,27.5,Domingo,16:45,laura.hernandez@paysafe.mx
Diego Ramírez,25.6825,-100.3210,2.2,31.4,Lunes,10:10,diego.ramirez@paysafe.mx
Diego Ramírez,25.6715,-100.3145,1.9,30.2,Lunes,13:35,diego.ramirez@paysafe.mx
Diego Ramírez,25.6935,-100.3275,2.3,32.1,Lunes,16:20,diego.ramirez@paysafe.mx
Diego Ramírez,25.6595,-100.3095,2.0,29.8,Martes,08:50,diego.ramirez@paysafe.mx
Diego Ramírez,25.6885,-100.3235,2.1,31.0,Martes,12:25,diego.ramirez@paysafe.mx
Diego Ramírez,25.6745,-100.3165,2.2,31.7,Martes,15:45,diego.ramirez@paysafe.mx
Diego Ramírez,25.6905,-100.3205,1.9,30.3,Martes,18:35,diego.ramirez@paysafe.mx
Diego Ramírez,25.6665,-100.3125,2.3,32.0,Miércoles,09:20,diego.ramirez@paysafe.mx
Diego Ramírez,25.6955,-100.3255,2.0,30.6,Miércoles,12:50,diego.ramirez@paysafe.mx
Diego Ramírez,25.6775,-100.3185,2.1,31.2,Miércoles,15:55,diego.ramirez@paysafe.mx
Diego Ramírez,25.6835,-100.3145,2.2,31.9,Jueves,08:10,diego.ramirez@paysafe.mx
Diego Ramírez,25.6695,-100.3265,1.9,30.1,Jueves,11:50,diego.ramirez@paysafe.mx
Diego Ramírez,25.6925,-100.3195,2.3,32.3,Jueves,14:35,diego.ramirez@paysafe.mx
Diego Ramírez,25.6645,-100.3115,2.0,29.9,Jueves,17:50,diego.ramirez@paysafe.mx
Diego Ramírez,25.6875,-100.3225,2.1,31.5,Viernes,09:25,diego.ramirez@paysafe.mx
Diego Ramírez,25.6755,-100.3175,2.2,31.8,Viernes,12:30,diego.ramirez@paysafe.mx
Diego Ramírez,25.6915,-100.3245,1.9,30.4,Viernes,15:40,diego.ramirez@paysafe.mx
Diego Ramírez,25.6685,-100.3155,2.3,32.2,Sábado,10:50,diego.ramirez@paysafe.mx
Diego Ramírez,25.6945,-100.3285,2.0,30.7,Sábado,14:15,diego.ramirez@paysafe.mx
Diego Ramírez,25.6805,-100.3165,2.1,31.3,Domingo,11:20,diego.ramirez@paysafe.mx
Diego Ramírez,25.6725,-100.3235,2.2,31.6,Domingo,14:40,diego.ramirez@paysafe.mx
Sofía Torres,25.6795,-100.3190,0.9,27.0,Lunes,08:40,sofia.torres@paysafe.mx
Sofía Torres,25.6865,-100.3260,1.1,28.2,Lunes,11:20,sofia.torres@paysafe.mx
Sofía Torres,25.6705,-100.3120,0.8,26.5,Lunes,14:50,sofia.torres@paysafe.mx
Sofía Torres,25.6935,-100.3230,1.2,29.0,Lunes,17:10,sofia.torres@paysafe.mx
Sofía Torres,25.6775,-100.3170,1.0,27.6,Martes,08:15,sofia.torres@paysafe.mx
Sofía Torres,25.6845,-100.3240,0.9,26.9,Martes,11:45,sofia.torres@paysafe.mx
Sofía Torres,25.6685,-100.3140,1.3,28.8,Martes,14:30,sofia.torres@paysafe.mx
Sofía Torres,25.6955,-100.3210,1.1,27.4,Martes,17:55,sofia.torres@paysafe.mx
Sofía Torres,25.6815,-100.3180,0.8,26.7,Miércoles,08:50,sofia.torres@paysafe.mx
Sofía Torres,25.6735,-100.3150,1.2,28.5,Miércoles,12:10,sofia.torres@paysafe.mx
Sofía Torres,25.6895,-100.3270,1.0,27.3,Miércoles,15:35,sofia.torres@paysafe.mx
Sofía Torres,25.6665,-100.3130,0.9,26.8,Miércoles,18:20,sofia.torres@paysafe.mx
Sofía Torres,25.6925,-100.3200,1.3,29.1,Jueves,09:00,sofia.torres@paysafe.mx
Sofía Torres,25.6785,-100.3160,1.1,27.7,Jueves,12:25,sofia.torres@paysafe.mx
Sofía Torres,25.6855,-100.3250,0.8,26.4,Jueves,15:45,sofia.torres@paysafe.mx
Sofía Torres,25.6715,-100.3110,1.2,28.3,Jueves,18:50,sofia.torres@paysafe.mx
Sofía Torres,25.6965,-100.3220,1.0,27.5,Viernes,08:30,sofia.torres@paysafe.mx
Sofía Torres,25.6825,-100.3170,0.9,26.6,Viernes,11:55,sofia.torres@paysafe.mx
Sofía Torres,25.6745,-100.3240,1.3,28.9,Viernes,14:40,sofia.torres@paysafe.mx
Sofía Torres,25.6885,-100.3150,1.1,27.8,Viernes,17:35,sofia.torres@paysafe.mx
Sofía Torres,25.6695,-100.3190,0.8,26.3,Sábado,10:20,sofia.torres@paysafe.mx
Sofía Torres,25.6945,-100.3260,1.2,28.6,Sábado,13:45,sofia.torres@paysafe.mx
Sofía Torres,25.6805,-100.3140,1.0,27.2,Sábado,16:55,sofia.torres@paysafe.mx
Sofía Torres,25.6865,-100.3210,0.9,26.9,Domingo,11:10,sofia.torres@paysafe.mx
Sofía Torres,25.6725,-100.3180,1.3,28.7,Domingo,14:25,sofia.torres@paysafe.mx
Sofía Torres,25.6915,-100.3150,1.1,27.4,Domingo,17:40,sofia.torres@paysafe.mx
Patricia Morales,25.6840,-100.3215,1.6,29.5,Lunes,09:15,patricia.morales@paysafe.mx
Patricia Morales,25.6710,-100.3175,1.8,30.2,Lunes,12:40,patricia.morales@paysafe.mx
Patricia Morales,25.6920,-100.3295,1.5,29.0,Lunes,15:25,patricia.morales@paysafe.mx
Patricia Morales,25.6760,-100.3135,1.9,30.8,Lunes,18:10,patricia.morales@paysafe.mx
Patricia Morales,25.6890,-100.3255,1.7,29.7,Martes,08:45,patricia.morales@paysafe.mx
Patricia Morales,25.6650,-100.3165,1.6,29.3,Martes,11:30,patricia.morales@paysafe.mx
Patricia Morales,25.6960,-100.3225,1.8,30.5,Martes,14:20,patricia.morales@paysafe.mx
Patricia Morales,25.6780,-100.3185,1.5,29.1,Martes,17:45,patricia.morales@paysafe.mx
Patricia Morales,25.6850,-100.3145,1.9,30.9,Miércoles,09:10,patricia.morales@paysafe.mx
Patricia Morales,25.6690,-100.3265,1.6,29.4,Miércoles,12:35,patricia.morales@paysafe.mx
Patricia Morales,25.6940,-100.3195,1.7,30.1,Miércoles,15:50,patricia.morales@paysafe.mx
Patricia Morales,25.6810,-100.3235,1.8,30.6,Jueves,08:25,patricia.morales@paysafe.mx
Patricia Morales,25.6720,-100.3155,1.5,29.2,Jueves,11:40,patricia.morales@paysafe.mx
Patricia Morales,25.6900,-100.3275,1.9,31.0,Jueves,14:55,patricia.morales@paysafe.mx
Patricia Morales,25.6670,-100.3125,1.6,29.5,Jueves,18:15,patricia.morales@paysafe.mx
Patricia Morales,25.6950,-100.3205,1.7,30.3,Viernes,09:30,patricia.morales@paysafe.mx
Patricia Morales,25.6790,-100.3165,1.8,30.7,Viernes,12:50,patricia.morales@paysafe.mx
Patricia Morales,25.6860,-100.3245,1.5,29.3,Viernes,16:05,patricia.morales@paysafe.mx
Patricia Morales,25.6730,-100.3195,1.9,31.1,Sábado,10:40,patricia.morales@paysafe.mx
Patricia Morales,25.6910,-100.3155,1.6,29.6,Sábado,14:10,patricia.morales@paysafe.mx
Patricia Morales,25.6780,-100.3225,1.7,30.2,Domingo,11:50,patricia.morales@paysafe.mx
Patricia Morales,25.6840,-100.3175,1.8,30.4,Domingo,15:20,patricia.morales@paysafe.mx
Miguel Ángel Castro,25.6870,-100.3230,2.4,31.9,Lunes,10:25,miguel.castro@paysafe.mx
Miguel Ángel Castro,25.6740,-100.3160,2.6,32.5,Lunes,13:45,miguel.castro@paysafe.mx
Miguel Ángel Castro,25.6930,-100.3280,2.3,31.2,Lunes,16:55,miguel.castro@paysafe.mx
Miguel Ángel Castro,25.6680,-100.3140,2.7,33.0,Martes,09:05,miguel.castro@paysafe.mx
Miguel Ángel Castro,25.6960,-100.3250,2.5,32.3,Martes,12:20,miguel.castro@paysafe.mx
Miguel Ángel Castro,25.6800,-100.3190,2.4,31.7,Martes,15:35,miguel.castro@paysafe.mx
Miguel Ángel Castro,25.6750,-100.3220,2.8,33.4,Martes,18:50,miguel.castro@paysafe.mx
Miguel Ángel Castro,25.6920,-100.3170,2.6,32.6,Miércoles,09:40,miguel.castro@paysafe.mx
Miguel Ángel Castro,25.6690,-100.3240,2.3,31.1,Miércoles,12:55,miguel.castro@paysafe.mx
Miguel Ángel Castro,25.6970,-100.3200,2.7,33.1,Miércoles,16:10,miguel.castro@paysafe.mx
Miguel Ángel Castro,25.6820,-100.3260,2.5,32.2,Jueves,09:20,miguel.castro@paysafe.mx
Miguel Ángel Castro,25.6730,-100.3130,2.4,31.5,Jueves,12:40,miguel.castro@paysafe.mx
Miguel Ángel Castro,25.6940,-100.3290,2.8,33.6,Jueves,15:50,miguel.castro@paysafe.mx
Miguel Ángel Castro,25.6660,-100.3150,2.6,32.7,Viernes,09:50,miguel.castro@paysafe.mx
Miguel Ángel Castro,25.6950,-100.3220,2.3,31.3,Viernes,13:10,miguel.castro@paysafe.mx
Miguel Ángel Castro,25.6790,-100.3180,2.7,32.9,Viernes,16:25,miguel.castro@paysafe.mx
Miguel Ángel Castro,25.6850,-100.3250,2.5,32.1,Sábado,11:30,miguel.castro@paysafe.mx
Miguel Ángel Castro,25.6710,-100.3160,2.4,31.6,Sábado,14:50,miguel.castro@paysafe.mx
Miguel Ángel Castro,25.6930,-100.3210,2.8,33.3,Domingo,12:15,miguel.castro@paysafe.mx
Miguel Ángel Castro,25.6770,-100.3240,2.6,32.4,Domingo,15:35,miguel.castro@paysafe.mx
Juan Pérez,25.6650,-100.3220,0.9,27.6,Martes,15:50
Juan Pérez,25.6920,-100.3155,1.1,29.0,Martes,17:10
Juan Pérez,25.6770,-100.3095,0.8,26.9,Martes,19:25
Juan Pérez,25.6890,-100.3265,1.4,28.7,Miércoles,08:40
Juan Pérez,25.6705,-100.3135,1.0,27.3,Miércoles,11:55
Juan Pérez,25.6835,-100.3175,1.3,29.1,Miércoles,13:30
Juan Pérez,25.6915,-100.3205,0.9,28.0,Miércoles,16:20
Juan Pérez,25.6755,-100.3115,1.1,27.7,Miércoles,18:45
Juan Pérez,25.6875,-100.3235,0.8,26.6,Jueves,07:30
Juan Pérez,25.6695,-100.3165,1.2,28.4,Jueves,09:50
Juan Pérez,25.6935,-100.3195,1.0,27.2,Jueves,12:10
Juan Pérez,25.6805,-100.3145,1.4,29.3,Jueves,14:35
